Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi
Salihli,87,1,En Üst Kat,5 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,2,1
Yunusemre,120,3,-,Sıfır Bina,Klima,Var,Yok,Var,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,5700000.0,3,1
Yunusemre,150,2,Yüksek Giriş,4 Yaşında,Güneş Enerjisi,Yok,Var,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,-,10400000.0,3,1
Turgutlu,105,1,Zemin,11 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2900000.0,2,1
Akhisar,130,1,1. Kat,26 Yaşında,Kombi,Var,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2100000.0,3,1
Akhisar,140,2,4. Kat,26 Yaşında,Kombi,Var,Var,Yok,-,Boş,Tapu Yok,Hayır,Eşyalı Değil,2450000.0,3,1
Akhisar,130,1,Zemin,26 Yaşında,Soba,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1750000.0,3,1
Sehzadeler,119,1,Bahçe Katı,31 Yaşında,Soba,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,2100000.0,2,1
Akhisar,226,1,-,32 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Kiracılı,Müstakil Tapulu,Hayır,Eşyalı Değil,810000.0,3,1
Akhisar,130,1,3. Kat,26 Yaşında,Soba,Yok,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,-,1975000.0,3,1
Saruhanli,354,1,Yüksek Giriş,32 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı,1780000.0,2,1
Salihli,160,1,5. Kat,21 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2750000.0,3,1
Salihli,174,2,-,3 Yaşında,Belirtilmemiş,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Arsa,Evet,Eşyalı Değil,7300000.0,2,1
Turgutlu,100,1,4. Kat,20 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2099000.0,2,1
Akhisar,130,1,Giriş Katı,21 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı,1980000.0,3,1
Ahmetli,145,1,Yüksek Giriş,5 Yaşında,Kombi,Yok,Var,Yok,-,-,Kat İrtifakı,-,-,2900000.0,3,1
Akhisar,220,2,2. Kat,11 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,5,1
Sehzadeler,120,1,Zemin,26 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,3450000.0,1,1
Turgutlu,110,1,3. Kat,7 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,2,1
Salihli,60,1,3. Kat,10 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı,1900000.0,1,1
Yunusemre,220,2,3. Kat,2 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,13500000.0,4,1
Turgutlu,280,3,6. Kat,Sıfır Bina,Yerden Isıtma,Yok,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,8500000.0,5,1
Akhisar,140,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3075000.0,3,1
Salihli,90,1,En Üst Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3675000.0,2,1
Kirkagac,120,2,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,3,1
Akhisar,140,1,2. Kat,7 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,3500000.0,3,1
Saruhanli,90,1,3. Kat,1 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,2750000.0,2,1
Yunusemre,110,1,Yüksek Giriş,4 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4000000.0,2,1
Yunusemre,60,1,Bahçe Katı,3 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3600000.0,1,1
Akhisar,130,2,1. Kat,Sıfır Bina,Kombi,Yok,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3550000.0,2,1
Akhisar,115,1,3. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2585000.0,2,1
Akhisar,290,1,-,25 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Kiracılı,Müstakil Tapulu,-,Eşyalı Değil,1580000.0,2,1
