Fiyat,Ilce,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu
2.475.000 TL,Turgutlu,2 + 1,132,1,1. Kat,11 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
2.395.000 TL,Turgutlu,3 + 1,135,1,1. Kat,21 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
1.750.000 TL,Turgutlu,3 + 1,112,1,5. Kat,21 Yaşında,Soba,Var,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,-
6.650.000 TL,Yunusemre,3 + 1,95,1,2. Kat,6 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
3.850.000 TL,Turgutlu,3 + 1,125,1,4. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
6.500.000 TL,Turgutlu,3 + 1,135,2,2. Kat,Sıfır Bina,Yerden Isıtma,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
5.500.000 TL,Sehzadeler,3 + 1,200,1,2. Kat,35 Yaşında,Kombi,Yok,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,-
2.500.000 TL,Salihli,5 + 1,240,2,1. Kat,25 Yaşında,Isıtma Yok,Var,Yok,Yok,-,-,Kat Mülkiyeti,düşünülmemektedir.,-
10.500.000 TL,Akhisar,4 + 1,176,3,Bahçe Katı,Sıfır Bina,Yerden Isıtma,Var,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
3.600.000 TL,Yunusemre,1 + 1,55,1,2. Kat,1 Yaşında,Kombi,Var,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı
4.300.000 TL,Sehzadeler,3 + 1,140,1,Ara Kat,15 Yaşında,Kombi,Var,Var,Var,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil
4.600.000 TL,Yunusemre,2 + 1,115,1,Yüksek Giriş,31 Yaşında,Kombi,Yok,Yok,Yok,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil
2.550.000 TL,Sehzadeler,2 + 1,100,1,En Üst Kat,30 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil
6.200.000 TL,Yunusemre,2 + 1,94,2,2. Kat,4 Yaşında,Kombi,Yok,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil
3.500.000 TL,Turgutlu,2 + 1,130,1,4. Kat,6 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
3.900.000 TL,Sehzadeler,3 + 1,170,1,Giriş Katı,11 Yaşında,Kombi,Yok,Yok,Var,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil
2.400.000 TL,Salihli,2 + 1,85,1,4. Kat,6 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,-
