Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi
Yunusemre,46,1,0,0,1,1,Kat İrtifakı,Evet,Eşyalı Değil,2900000.0,1,1,2.0,3,0,1,0,0
Soma,180,1,35,1,0,0,Hisseli Tapu,Hayır,Eşyalı Değil,3420000.0,3,1,1.0,3,0,1,0,0
Saruhanli,147,2,1,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3100000.0,2,1,4.0,3,0,1,0,0
Yunusemre,85,1,32,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3100000.0,2,1,5.0,3,0,1,0,0
Koprubasi,180,1,40,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,1350000.0,3,1,3.0,1,0,1,0,0
Turgutlu,141,1,30,1,0,1,Müstakil Tapulu,Hayır,Eşyalı Değil,6500000.0,3,1,3.0,2,0,1,0,0
Salihli,85,1,24,0,0,0,Müstakil Tapulu,Hayır,Eşyalı Değil,4600000.0,2,1,3.0,1,0,0,0,1
Yunusemre,70,1,6,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,2849000.0,2,1,4.0,3,0,1,0,0
Turgutlu,120,1,6,0,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,2999000.0,3,1,4.0,3,0,1,0,0
Yunusemre,85,1,4,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3175000.0,2,1,3.0,3,2,1,0,0
Akhisar,90,3,0,0,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,3050000.0,2,1,2.0,3,0,1,0,0
Akhisar,145,1,8,1,1,1,Müstakil Tapulu,Evet,-,2950000.0,3,1,0.5,3,0,1,0,0
Akhisar,70,1,0,1,1,0,Kat İrtifakı,Evet,Eşyalı Değil,2590000.0,2,0,1.0,3,0,1,0,0
Yunusemre,75,1,6,1,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,1700000.0,2,1,0.0,3,0,1,0,0
Yunusemre,110,1,15,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,4750000.0,2,1,3.0,2,2,1,0,0
Soma,100,1,0,1,1,0,Kat İrtifakı,Evet,Eşyalı Değil,2750000.0,2,1,0.5,2,2,1,0,0
Saruhanli,285,2,5,0,0,0,Müstakil Tapulu,Evet,Eşyalı Değil,8650000.0,6,1,4.0,3,0,0,0,1
Turgutlu,150,1,26,1,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,3,1,3.0,3,0,1,0,0
Akhisar,100,1,0,0,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3350000.0,2,1,3.0,3,2,1,0,0
Yunusemre,240,2,20,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0,4,1,5.0,3,0,0,0,1
Salihli,125,1,6,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,4900000.0,3,1,5.0,3,0,0,1,0
Akhisar,135,1,0,1,1,1,Kat İrtifakı,-,Eşyalı Değil,3625000.0,3,1,2.0,3,2,1,0,0
Yunusemre,90,1,8,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,4900000.0,2,1,2.0,3,0,0,0,1
Salihli,148,1,15,0,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,6750000.0,3,1,0.0,1,0,0,0,1
Akhisar,150,2,0,0,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,6600000.0,5,1,5.0,3,2,1,0,0
Demirci,65,1,9,1,0,0,Kat İrtifakı,Evet,-,1685000.0,2,1,0.0,2,0,0,1,0
Yunusemre,110,1,12,1,1,0,Kat Mülkiyeti,Hayır,-,3300000.0,3,1,5.0,3,0,1,0,0
Salihli,110,1,0,0,0,1,Kat İrtifakı,-,-,4500000.0,2,1,5.0,3,2,1,0,0
Sehzadeler,135,1,16,0,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,5200000.0,3,1,3.0,3,0,1,0,0
Yunusemre,48,1,1,1,0,1,Kat Mülkiyeti,Hayır,Eşyalı,4850000.0,1,1,12.0,2,2,0,1,0
Akhisar,105,1,0,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0,2,1,3.0,3,2,1,0,0
Yunusemre,200,1,3,0,1,0,Kat Mülkiyeti,Evet,Eşyalı,5850000.0,3,1,5.0,3,0,1,0,0
Yunusemre,174,2,11,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,11750000.0,4,1,3.0,3,0,1,0,0
Yunusemre,50,1,6,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,2350000.0,1,1,2.0,3,0,1,0,0
Turgutlu,155,2,0,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,6750000.0,3,1,1.0,3,0,1,0,0
Salihli,85,1,0,1,1,1,Kat İrtifakı,Evet,-,2800000.0,2,1,1.0,3,1,1,0,0
Salihli,145,1,20,1,1,1,Kat Mülkiyeti,-,Eşyalı Değil,4100000.0,3,1,4.0,3,0,1,0,0
Akhisar,90,2,0,1,1,1,Kat İrtifakı,-,Eşyalı Değil,3600000.0,2,1,1.0,3,2,1,0,0
Yunusemre,240,2,20,1,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,4200000.0,4,1,5.0,3,0,0,0,1
